"","scores_adabag","scores_svm","scores_rf"
"551",0.5,0.5,0.5
"552",0.5,0.5,0.5
"553",0.5,0.5,0.5
"554",0.5,0.5,0.5
"555",0.5,0.5,0.5
"556",0.5,0.5,0.5
"557",0.5,0,0.5
"558",0.5,0.5,0.5
"559",0.5,0.5,0.5
"560",1,1,1
"561",1,1,1
"562",1,1,1
"563",0.5,0.5,0.5
"564",0.5,0.5,0.5
"565",0.5,0.5,0.5
"566",0.5,0.5,0
"567",0.5,0.5,0.5
"568",0.5,0.5,0.5
"569",0.5,0.5,0
"570",0.5,0.5,0.5
"571",1,1,1
"572",1,1,1
"573",1,1,1
"574",0.5,0.5,0.5
"575",0.5,0.5,0.5
"576",1,1,1
"577",1,0.5,0.5
"578",0.5,0.5,0.5
"579",0,0.5,0.5
"580",0.5,0.5,0.5
"581",0.5,0.5,0.5
"582",0.5,0.5,0.5
"583",0.5,0.5,0.5
"584",0.5,0.5,0.5
"585",0.5,0.5,0.5
"586",0.5,0.5,0.5
"587",0.5,0.5,0.5
"588",0.5,0.5,0.5
"589",1,1,1
"590",0.5,0.5,1
"591",0.5,0.5,0.5
"592",1,1,1
"593",0.5,0.5,0.5
"594",0.5,0.5,0.5
"595",0.5,0.5,0.5
"596",1,1,1
"597",0.5,0.5,0.5
"598",0.5,0.5,0.5
"599",1,1,1
"600",0.5,0.5,0.5
"601",1,1,1
"602",0.5,0.5,0.5
"603",0.5,0.5,0.5
"604",1,0.5,1
"605",0.5,0.5,0.5
"606",0.5,0.5,0.5
"607",0.5,0.5,0.5
"608",0.5,0.5,0.5
"609",0.5,0.5,0.5
"610",1,1,1
"611",1,1,1
"612",0.5,0.5,0.5
"613",0.5,0.5,1
"614",1,1,1
"615",0.5,0.5,0.5
"616",0.5,1,1
"617",0.5,0.5,0.5
"618",1,1,1
"619",0.5,0.5,0.5
"620",1,1,1
"621",0.5,1,1
"622",0.5,1,1
"623",0.5,0.5,1
"624",0.5,0.5,0.5
"625",0.5,1,1
"626",1,0.5,0.5
"627",0.5,0.5,0.5
"628",1,1,1
"629",0.5,0.5,0.5
"630",0.5,0,0.5
"631",0.5,0.5,0.5
"632",1,0.5,1
"633",0.5,0.5,0.5
"634",0.5,0.5,0.5
"635",0.5,0.5,0.5
"636",1,1,1
"637",0.5,0.5,0.5
"638",0.5,0.5,0.5
"639",0.5,0.5,0.5
"640",0.5,0,0.5
"641",1,1,1
"642",0.5,0.5,1
"643",0.5,0.5,0.5
"644",0.5,0.5,0.5
"645",0.5,0.5,0.5
"646",1,1,1
"647",0.5,0.5,0.5
"648",0.5,1,1
"649",0.5,0.5,0.5
"650",1,1,1
"651",0.5,0.5,0.5
"652",1,1,1
"653",0.5,0,0.5
"654",1,1,1
"655",0.5,0.5,0.5
"656",0.5,0.5,0.5
"657",0,0.5,0.5
"658",1,1,1
"659",0.5,0.5,0.5
"660",0.5,1,1
"661",0.5,0.5,1
"662",1,1,1
"663",1,1,1
"664",0,0.5,0
"665",0.5,0.5,0.5
"666",1,1,1
"667",0.5,0.5,0.5
"668",1,0.5,1
"669",1,1,1
"670",0.5,0.5,0.5
"671",1,1,1
"672",0.5,0.5,0.5
"673",0.5,0.5,0.5
"674",0.5,0.5,0.5
"675",0.5,0,0.5
"676",0.5,1,1
"677",0.5,0.5,0.5
"678",0.5,0.5,0.5
"679",0.5,0.5,0.5
"680",1,1,1
"681",0.5,1,1
"682",1,0.5,0.5
"683",0.5,0.5,0.5
"684",0,0.5,0.5
"685",1,1,1
"686",0.5,0.5,0.5
"687",0.5,0,0.5
"688",0.5,0.5,0.5
"689",0.5,0.5,0.5
"690",0.5,0.5,0.5
"691",0.5,0.5,0.5
"692",0.5,0.5,0.5
"693",0.5,0.5,0.5
"694",1,1,1
"695",0.5,0.5,0.5
"696",0.5,0.5,0.5
"697",1,1,1
"698",0.5,1,1
"699",0.5,0.5,0.5
"700",0.5,0.5,0.5
"701",1,1,1
"702",0.5,0.5,0.5
"703",0.5,0.5,1
"704",0.5,0.5,0.5
"705",1,1,1
"706",1,1,1
"707",0.5,0.5,0.5
"708",1,1,1
"709",0.5,0.5,0.5
"710",1,1,1
"711",0.5,0.5,0.5
"712",0.5,0.5,0
"713",0.5,0.5,0.5
"714",1,1,1
"715",0.5,1,1
"716",0.5,0.5,0.5
"717",1,1,1
"718",1,1,1
"719",0.5,0.5,0.5
"720",0.5,0.5,0.5
"721",1,1,1
"722",0.5,0.5,0.5
"723",0.5,0.5,0.5
"724",0.5,0.5,0.5
"725",0.5,0.5,0.5
"726",1,1,0.5
"727",0.5,0.5,0.5
"728",0.5,0.5,0.5
"729",0.5,0.5,0.5
"730",0.5,0.5,0.5
"731",0.5,0.5,0.5
"732",0.5,0.5,0.5
"733",0.5,1,1
"734",1,1,1
"735",0.5,0.5,0.5
"736",0.5,0.5,0.5
"737",0.5,1,1
"738",0.5,0.5,0.5
"739",0.5,0.5,0.5
"740",1,1,1
"741",0.5,0.5,0.5
"742",0.5,0.5,0.5
"743",0.5,0.5,0.5
"744",0.5,0.5,0.5
"745",0.5,0.5,0.5
"746",0.5,0.5,0.5
"747",0.5,0.5,0.5
"748",0.5,0.5,0.5
"749",0.5,0.5,0.5
