"","scores_adabag","scores_svm","scores_rf"
"970",0.5,0.5,0.5
"971",0,0,0
"972",0.5,1,1
"973",0.5,0.5,0.5
"974",0.5,0.5,0.5
"975",0.5,1,1
"976",0.5,0.5,0.5
"977",0,0.5,0
"978",1,0.5,0.5
"979",0.5,0.5,0.5
"980",1,1,1
"981",0.5,0.5,0.5
"982",1,0.5,1
"983",0.5,0.5,0.5
"984",0.5,0.5,0.5
"985",0.5,0.5,0.5
"986",0.5,0.5,0.5
"987",1,1,1
"988",1,1,1
"989",1,1,1
"990",0.5,0.5,0.5
"991",0.5,0.5,0.5
"992",0.5,0.5,0.5
"993",1,1,1
"994",0.5,0.5,0.5
"995",1,0.5,0.5
"996",0.5,0.5,0.5
"997",0.5,0.5,0.5
"998",1,1,1
"999",0.5,1,1
"1000",0.5,0.5,0.5
"1001",1,0.5,1
"1002",0.5,0.5,0.5
"1003",0.5,1,1
"1004",0,0,0
"1005",0.5,0.5,0.5
"1006",0.5,0.5,0.5
"1007",0.5,1,0.5
"1008",1,1,1
"1009",1,1,1
"1010",1,1,1
"1011",0.5,0.5,0.5
"1012",0,0.5,0
"1013",0.5,0.5,0.5
"1014",0.5,0.5,0.5
"1015",0.5,0.5,0.5
"1016",0.5,0.5,0.5
"1017",0.5,0.5,0.5
"1018",0.5,0.5,0.5
"1019",0.5,0.5,0.5
"1020",0.5,0.5,0.5
"1021",0.5,0.5,0.5
"1022",0.5,0.5,0.5
"1023",0.5,0.5,0.5
"1024",1,1,1
"1025",0.5,0.5,0.5
"1026",0.5,0.5,0.5
"1027",1,1,1
"1028",0.5,0.5,0.5
"1029",1,1,1
"1030",0.5,0.5,0.5
"1031",0.5,0.5,0.5
"1032",0,0.5,0
"1033",1,1,1
"1034",0.5,0.5,0.5
"1035",1,1,1
"1036",0.5,0.5,0.5
"1037",0.5,0.5,0.5
"1038",0.5,0.5,0.5
"1039",0.5,1,0.5
"1040",0.5,0.5,0.5
"1041",0.5,0.5,0.5
"1042",0.5,0.5,0.5
"1043",0.5,0.5,0.5
"1044",1,0.5,0.5
"1045",0.5,0.5,0.5
"1046",0.5,0.5,1
"1047",1,1,1
"1048",0.5,0.5,0.5
"1049",1,1,1
"1050",0.5,0.5,0.5
"1051",0,0.5,0.5
"1052",0.5,1,1
"1053",1,1,1
"1054",0,0.5,0.5
"1055",0.5,0.5,0.5
"1056",1,0.5,1
"1057",0.5,0.5,0.5
"1058",0.5,0.5,0.5
"1059",1,1,1
"1060",0.5,0.5,0.5
"1061",0.5,0.5,0.5
"1062",0,0.5,0
"1063",0.5,0.5,0.5
"1064",0.5,0.5,0.5
"1065",0.5,0.5,0.5
"1066",1,1,1
