"","scores_adabag","scores_svm","scores_rf"
"593",0.5,0.5,0.5
"594",0.5,0.5,0.5
"595",0,0.5,0
"596",0.5,1,1
"597",0.5,0.5,0.5
"598",0.5,0.5,0.5
"599",1,1,1
"600",0.5,1,0.5
"601",0.5,0.5,0.5
"602",1,1,1
"603",1,1,1
"604",0.5,0.5,0.5
"605",1,1,1
"606",1,1,1
"607",1,1,1
"608",1,1,1
"609",1,1,1
"610",0,0.5,0.5
"611",1,1,1
"612",1,1,1
"613",0.5,1,1
"614",0,0.5,0.5
"615",1,1,1
"616",0.5,1,1
"617",0.5,0.5,0.5
"618",1,1,1
"619",1,1,1
"620",0.5,1,1
"621",1,1,1
"622",1,0.5,1
"623",0.5,1,1
"624",0.5,0.5,0.5
"625",0.5,0.5,0.5
"626",1,1,1
"627",0.5,0.5,0.5
"628",1,1,1
"629",0.5,0.5,0.5
"630",0.5,0.5,0.5
"631",1,1,1
"632",0.5,0.5,0.5
"633",0.5,0.5,0.5
"634",0.5,1,1
"635",0.5,0.5,0.5
"636",1,1,1
"637",0.5,1,1
"638",0.5,0.5,0.5
"639",1,1,1
"640",0.5,0.5,0.5
"641",0.5,0.5,0.5
"642",0.5,0.5,0.5
"643",0.5,0.5,0.5
"644",1,1,1
"645",0.5,1,1
"646",1,1,1
"647",0.5,0.5,0.5
"648",0.5,0.5,0.5
"649",0.5,0.5,0.5
"650",0.5,0.5,0.5
"651",1,1,1
"652",0.5,0.5,0.5
"653",1,0.5,1
"654",0.5,1,1
"655",0,0.5,0
"656",0.5,0.5,0.5
"657",0.5,0.5,0.5
"658",0.5,0.5,0.5
"659",0,0.5,0.5
"660",1,1,1
"661",0.5,0.5,0.5
"662",0.5,1,1
"663",1,1,1
"664",0.5,0.5,0.5
"665",0.5,0.5,0.5
"666",0.5,0.5,0.5
"667",1,1,1
"668",1,0.5,1
"669",1,1,1
"670",0.5,0.5,0.5
"671",1,1,1
"672",1,0.5,1
"673",0.5,1,1
"674",0.5,1,1
"675",1,1,1
"676",1,1,1
"677",1,1,1
"678",0.5,0.5,0.5
"679",0.5,0.5,0.5
"680",0.5,0.5,0.5
"681",0.5,1,1
"682",0.5,0.5,0.5
"683",0,0,0
"684",0.5,0.5,0.5
"685",0.5,0.5,0.5
"686",0.5,0.5,0.5
"687",0.5,0.5,0.5
"688",0.5,1,1
"689",0.5,1,1
"690",0.5,0.5,0.5
"691",0.5,1,1
"692",0.5,0.5,0.5
"693",0,0.5,0
"694",0,0.5,0.5
"695",1,1,1
"696",0.5,0.5,0.5
"697",0.5,0.5,0.5
"698",0.5,0.5,1
"699",0.5,0.5,0.5
"700",0.5,0.5,0.5
"701",1,1,1
"702",0.5,0,0
"703",0.5,1,1
"704",1,1,1
"705",0.5,0.5,0.5
"706",0.5,0.5,0.5
"707",1,1,1
"708",1,0.5,1
"709",1,0.5,1
"710",0.5,0.5,0.5
"711",1,1,1
"712",1,1,1
"713",0.5,0.5,0.5
"714",0.5,0.5,1
"715",1,1,1
"716",1,1,1
"717",0.5,0.5,1
"718",0.5,0.5,0.5
"719",0.5,0.5,0.5
"720",1,1,1
"721",0.5,0.5,0.5
"722",1,1,1
"723",0.5,1,1
"724",0.5,0.5,0.5
"725",1,1,1
